presenter,chair1,chair2,title,presenter_gender,chair1_gender,chair2_gender
Elke Kraetzschmar,zaynab guerraou (European Space Agency),Quentin Paletta (European Space Agency),B.03.08 Earth Observation in support of the energy transition - PART 2,female,unknown,male
Raffaele Lafortezza,Marco La Salandra (University Of Bari),Rosa Colacicco (Department of Earth and Geoenvironmental Sciences,B.04.03 Integrating multi-sensor Earth Observation data to improve natural hazard monitoring - PART 1,male,male,female
Carlo Alberto Stefanini,Marco La Salandra (University Of Bari),Rosa Colacicco (Department of Earth and Geoenvironmental Sciences,B.04.03 Integrating multi-sensor Earth Observation data to improve natural hazard monitoring - PART 1,male,male,female
Anna Sblano,Marco La Salandra (University Of Bari),Rosa Colacicco (Department of Earth and Geoenvironmental Sciences,B.04.03 Integrating multi-sensor Earth Observation data to improve natural hazard monitoring - PART 1,female,male,female
MSc Saverio Mancino,Marco La Salandra (University Of Bari),Rosa Colacicco (Department of Earth and Geoenvironmental Sciences,B.04.03 Integrating multi-sensor Earth Observation data to improve natural hazard monitoring - PART 1,male,male,female
Katarzyna Januchta,Marco La Salandra (University Of Bari),Rosa Colacicco (Department of Earth and Geoenvironmental Sciences,B.04.03 Integrating multi-sensor Earth Observation data to improve natural hazard monitoring - PART 1,female,male,female
Guy Schumann,Marco La Salandra (University Of Bari),Rosa Colacicco (Department of Earth and Geoenvironmental Sciences,B.04.03 Integrating multi-sensor Earth Observation data to improve natural hazard monitoring - PART 1,male,male,female
Joan Sturm,Marco La Salandra (University Of Bari),Rosa Colacicco (Department of Earth and Geoenvironmental Sciences,B.04.03 Integrating multi-sensor Earth Observation data to improve natural hazard monitoring - PART 2,female,male,female
Simone Ippoliti,Marco La Salandra (University Of Bari),Rosa Colacicco (Department of Earth and Geoenvironmental Sciences,B.04.03 Integrating multi-sensor Earth Observation data to improve natural hazard monitoring - PART 2,female,male,female
Christine Gläßer,Marco La Salandra (University Of Bari),Rosa Colacicco (Department of Earth and Geoenvironmental Sciences,B.04.03 Integrating multi-sensor Earth Observation data to improve natural hazard monitoring - PART 2,female,male,female
Tomas Pucik,Marco La Salandra (University Of Bari),Rosa Colacicco (Department of Earth and Geoenvironmental Sciences,B.04.03 Integrating multi-sensor Earth Observation data to improve natural hazard monitoring - PART 2,male,male,female
Francesco Spina,Marco La Salandra (University Of Bari),Rosa Colacicco (Department of Earth and Geoenvironmental Sciences,B.04.03 Integrating multi-sensor Earth Observation data to improve natural hazard monitoring - PART 2,male,male,female
Heike Bach,Anke Schickling (European Space Agency - ESRIN),Giuseppe Ottavianelli (ESA),C.03.01 The Sentinel User Preparation Initiative for High-Priority Applications,female,female,male
Robert Milewski,Anke Schickling (European Space Agency - ESRIN),Giuseppe Ottavianelli (ESA),C.03.01 The Sentinel User Preparation Initiative for High-Priority Applications,male,female,male
Petra Philipson,Anke Schickling (European Space Agency - ESRIN),Giuseppe Ottavianelli (ESA),C.03.01 The Sentinel User Preparation Initiative for High-Priority Applications,female,female,male
Malin Johansson,Anke Schickling (European Space Agency - ESRIN),Giuseppe Ottavianelli (ESA),C.03.01 The Sentinel User Preparation Initiative for High-Priority Applications,female,female,male
Carsten Brockmann,Anke Schickling (European Space Agency - ESRIN),Giuseppe Ottavianelli (ESA),C.03.01 The Sentinel User Preparation Initiative for High-Priority Applications,male,female,male
Thomas Higginbottom,Anke Schickling (European Space Agency - ESRIN),Giuseppe Ottavianelli (ESA),C.03.01 The Sentinel User Preparation Initiative for High-Priority Applications,male,female,male
Tania Gil Duarte Casal,Sahra Kacimi (Jet Propulsion Laboratory),Paolo Cipollini (ESA),"C.03.05 Copernicus CRISTAL: Operational Monitoring for Cryospheric Science, Hydrology, and Oceanography from Coasts to Polar Seas",female,female,male
Jack Landy,Sahra Kacimi (Jet Propulsion Laboratory),Paolo Cipollini (ESA),"C.03.05 Copernicus CRISTAL: Operational Monitoring for Cryospheric Science, Hydrology, and Oceanography from Coasts to Polar Seas",male,female,male
